time, mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
11-07 18:22:54.844,24169768380055,79,16169,2300,310260,25,-96,-13,2147483647,2147483647,2147483647
11-07 18:22:54.850,24169768380055,79,16169,2300,310260,25,-96,-13,2147483647,2147483647,2147483647
11-07 18:22:58.668,24170165197022,79,16169,2300,310260,22,-105,-12,2147483647,2147483647,2147483647
11-07 18:22:58.691,24170165197022,79,16169,2300,310260,22,-105,-12,2147483647,2147483647,2147483647
11-07 18:22:59.453,24170165197022,79,16169,2300,310260,22,-105,-12,2147483647,2147483647,2147483647
11-07 18:22:59.458,24170165197022,79,16169,2300,310260,22,-105,-12,2147483647,2147483647,2147483647
11-07 18:22:59.904,24170165197022,79,16169,2300,310260,22,-105,-12,2147483647,2147483647,2147483647
11-07 18:22:59.925,24170165197022,79,16169,2300,310260,22,-105,-12,2147483647,2147483647,2147483647
11-07 18:23:00.403,24170165197022,79,16169,2300,310260,22,-105,-12,2147483647,2147483647,2147483647
11-07 18:23:00.408,24170165197022,79,16169,2300,310260,22,-105,-12,2147483647,2147483647,2147483647
11-07 18:23:04.604,24172975748864,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:23:04.615,24172975748864,79,16169,2300,310260,21,-100,-8,2147483647,2147483647,2147483647
11-07 18:23:10.710,24173329391868,79,16169,2300,310260,22,-99,-9,2147483647,2147483647,2147483647
11-07 18:23:10.714,24173329391868,79,16169,2300,310260,22,-99,-9,2147483647,2147483647,2147483647
11-07 18:23:14.771,24174488629952,79,16169,2300,310260,22,-97,-7,2147483647,2147483647,2147483647
11-07 18:23:14.780,24174488629952,79,16169,2300,310260,22,-97,-7,2147483647,2147483647,2147483647
11-07 18:23:15.263,24174488629952,79,16169,2300,310260,22,-97,-7,2147483647,2147483647,2147483647
11-07 18:23:15.272,24174488629952,79,16169,2300,310260,22,-97,-7,2147483647,2147483647,2147483647
11-07 18:23:15.777,24174488629952,79,16169,2300,310260,22,-97,-7,2147483647,2147483647,2147483647
11-07 18:23:15.811,24174488629952,79,16169,2300,310260,22,-97,-7,2147483647,2147483647,2147483647
11-07 18:23:16.253,24174488629952,79,16169,2300,310260,22,-97,-7,2147483647,2147483647,2147483647
11-07 18:23:16.256,24174488629952,79,16169,2300,310260,22,-97,-7,2147483647,2147483647,2147483647
11-07 18:23:21.604,24176729590644,79,16169,2300,310260,23,-96,-8,2147483647,2147483647,2147483647
11-07 18:23:21.625,24176729590644,79,16169,2300,310260,23,-96,-8,2147483647,2147483647,2147483647
11-07 18:23:22.071,24176738475489,79,16169,2300,310260,23,-96,-8,2147483647,2147483647,2147483647
11-07 18:23:22.081,24176738475489,79,16169,2300,310260,23,-96,-8,2147483647,2147483647,2147483647
11-07 18:23:33.603,24177927135451,79,16169,2300,310260,26,-96,-14,2147483647,2147483647,2147483647
11-07 18:23:33.606,24177927135451,79,16169,2300,310260,26,-96,-14,2147483647,2147483647,2147483647
11-07 18:23:45.614,24178709534904,79,16169,2300,310260,27,-95,-15,2147483647,2147483647,2147483647
11-07 18:23:45.619,24178709534904,79,16169,2300,310260,27,-95,-15,2147483647,2147483647,2147483647
